条件名,status,config key,現行値,入力,判定,reject reason,Runtime file/function,actual/shadow,変更可否
PBv2 profile / entry_score_v2,MAINLINE_ACTIVE,entry_profile / entry_score_v2_min / momentum_score_cutoff_max,momentum_volume_v2 / min=3 / cutoff<=0.2546,"entry_expectancy_score_v2, momentum_continuation_score, board tier",score_v2>=min AND momentum_score_cutoff_pass AND board_mid_or_high,entry_score_v2_below_threshold / momentum_low_required,src/research/exposure_gate.py::ExposureGate.evaluate_entry L235-698,actual,YAML+pin; strategy change needs GO
Momentum low (explicit cutoff),MAINLINE_ACTIVE,momentum_score_cutoff_max,0.2546,momentum_continuation_score,score <= cutoff (Phase472 PBv2),momentum_low_required,src/research/exposure_gate.py::evaluate_entry + entry_expectancy_score_shadow.momentum_score_cutoff_pass,actual,config
Board mid/high required,MAINLINE_ACTIVE,(derived with entry_score_v2),board_mid_or_high_required_for_v2,board imbalance / board tier tokens,board mid or high required for v2 accept,entry_score_v2_below_threshold,src/small_paper/entry_expectancy_score_shadow.py::board_mid_or_high_required_for_v2,actual,code
OR Open Strength Overlay,MAINLINE_ACTIVE,or_overlay_enabled / cap_pbv2 / cap_or / or_max_update_count,true / 4 / 1 / 8,"OR open strength features, update_count","CAP_SPLIT_4_1: PBv2<=4, OR<=1, total<=5",or_cap_full / pbv2_cap_full,src/small_paper/or_overlay_entry.py + pilot_runner._maybe_try_or_overlay_entry,actual,config
Price Risk Guard,MAINLINE_ACTIVE,entry_price_risk_guard_enabled / min_entry_price / max_tick_ratio_pct / apply_mode,true / 50.0 / 5.0% / reject_entry,"entry price, tick size ratio",price>=min AND tick_ratio<=max; apply reject_entry,entry_price_risk_guard,src/research/exposure_gate.py::evaluate_entry,actual (shadow flag true for audit),config
High Drift Pullback,MAINLINE_ACTIVE,high_drift_guard_enabled,true,"day_high distance, r5/r10/r15, dynamic40",dynamic40 AND ((dh>=1.2% AND r10<-0.15% AND r5>r10) OR (dh>=1.5% AND (r15<-0.5% OR r5<-0.5%))),high_drift_pullback,src/research/exposure_gate.py::evaluate_entry,actual,config
Weak Shape,MAINLINE_ACTIVE,weak_shape_reject_enabled,true,opening_peak / slow_opening_peak shape labels,reject opening_peak / slow_opening_peak at ENTRY,weak_shape_reject,src/research/exposure_gate.py::evaluate_entry,actual,config
Late Chase Guard,MAINLINE_ACTIVE,late_chase_guard_enabled,true,"r10, day_high_distance",r10<0.3719 AND day_high_distance<1.1872 → reject,late_chase_guard,src/research/exposure_gate.py::evaluate_entry + late_chase_guard,actual,config
Classic RSI late chase,MAINLINE_ACTIVE,classic_late_chase_rsi_guard_enabled / threshold,true / 80.0,"late_chase_cluster flag, RSI14",late_chase_cluster AND RSI14>=threshold,classic_late_chase_rsi_over80,src/small_paper/classic_late_chase_rsi_guard.py + exposure_gate,actual,config
Reentry RSI,MAINLINE_ACTIVE,reentry_rsi_guard_enabled / threshold,true / 60.0,"prior stop_hit, RSI14",re-entry after stop_hit requires RSI14>threshold,reentry_rsi_guard_below60,src/research/exposure_gate.py::evaluate_entry,actual,config
Entry Quality G9,MAINLINE_ACTIVE,entry_quality_guard_enabled / max_spread_bps / max_update_count,true / 50.0 / 5,"spread_bps, update_count",require spread<=50bps AND update_count<=5,entry_quality_guard_spread / entry_quality_guard_update_count,src/small_paper/entry_quality_guard.py,actual,config
Entry Cluster Guard,MAINLINE_ACTIVE,entry_cluster_guard_enabled / reject_clusters / exception / liquidity_burst,true / clusters=[5] / csubs=[] / exception=true / thr=0.052267,"cluster model features, liquidity_burst",reject cluster5 unless E4 liquidity_burst exception,entry_cluster_guard,src/small_paper/entry_cluster_guard.py,actual,config+model json
Flat-band mainline,MAINLINE_ACTIVE,pbv2_flat_band_mainline_enabled (+ threshold keys),"true; rise5[0.0,0.5] rise10[-0.5,0.5] overheat>=2.0","entry_rise_5min_pct, entry_rise_10min_pct, PBv2 pool",flat band + overheat evaluate_flat_plus_overheat,flat_band_mainline,src/small_paper/pbv2_flat_band_entry_guard.py,actual (shadow flag false),config
Near day-high + low momentum (Dynamic40),MAINLINE_ACTIVE,enable_near_day_high_low_momentum_dynamic40_guard,true,"dynamic40, day-high proximity, momentum",production ENTRY reject for D40 near-high low-mom,near_day_high_low_momentum_dynamic40_guard,src/research/exposure_gate.py::evaluate_entry,actual,config
Position cap,MAINLINE_ACTIVE,max_concurrent_positions / position_cap_mode / position_cap_release / cap_pbv2 / cap_or,5 / true / structural_exit / 4/1,open position count by pool,total<=5 with OR split; release on structural exit,max_concurrent / pbv2_cap_full / or_cap_full,pilot_runner + exposure_gate + or_overlay_cap,actual,config
same_symbol_open_policy,MAINLINE_ACTIVE,same_symbol_open_policy,no_overlap_replace,open positions for symbol,reject ENTRY while same symbol open (no overlap replace chain),REJECT_SAME_SYMBOL_OPEN_OVERLAP,src/small_paper/pilot_runner.py::_maybe_reject_same_symbol_open_overlap,actual,config
Allowed trading windows,MAINLINE_ACTIVE,allowed_trading_windows / use_market_time_window,"09:05-11:23, 12:33-15:20; use_market_time_window=true",market clock JST,outside window → reject,outside_allowed_trading_window,src/research/exposure_gate.py::evaluate_entry,actual,config
Stale price / board freshness,MAINLINE_ACTIVE,entry_freshness_guard_enabled / entry_max_price_age_sec / entry_max_board_age_sec / freshness_semantics_v2,true / 3.0s / 3.0s / v2=True,"CurrentPriceTime, board update time, event age",price/board age <=3s; trade_stale tag_only at 10s,freshness/stale reject (scan controller),src/small_paper/entry_scan_controller.py + pilot_runner,actual,config
Daytrade suitability,MAINLINE_ACTIVE,daytrade_suitability_enabled / rule / apply_mode,true / volatility_liquidity_top50 / reject_entry,vol/liq ranking prior sessions,reject if not in suitability set,daytrade_suitability,src/small_paper/daytrade_suitability_gate.py,actual,config
Stop Low MFE Guard,NOT_RUNTIME_REACHABLE,stop_low_mfe_guard_enabled,false,n/a (disabled),gate branch not taken when false,stop_low_mfe_guard (unused),src/research/exposure_gate.py::evaluate_entry (guard None when disabled),OFF,must stay false unless explicit GO
Daily loss / risk cluster,MAINLINE_ACTIVE,daily_loss_guard_enabled / daily_loss_guard_pct / risk_cluster_*,true / -2.5% / consecutive=5,"session PnL, consecutive losses",block further ENTRY when tripped,daily_loss_guard / risk_cluster_block,src/research/exposure_gate.py::evaluate_entry,actual,config
