phase,date,category,sub_category,title,purpose,runtime_status,shadow_status,research_status,current_status,adoption_status,removed_or_disabled,related_phases,related_reports,summary,verdict
8,2026-05-17,Monitoring,script,Phase 8 sweep,Script run_phase8_sweep.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase8_sweep_20260516.json,Report generated; no runtime adoption,research_complete
9,2026-05-17,Entry,script,Phase 9 entry quality,Script run_phase9_entry_quality.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase9_entry_quality_20260516.json,Report generated; no runtime adoption,research_complete
10,2026-05-17,Monitoring,script,Phase 10 combined candidates,Script run_phase10_combined_candidates.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase10_combined_candidates_20260517.json,Report generated; no runtime adoption,research_complete
11,2026-05-17,Replay,script,Phase 11 screen replay,Script run_phase11_screen_replay.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase11_screen_replay_20260517.json,Report generated; no runtime adoption,research_complete
13,2026-05-17,Monitoring,script,no_entry_until 09:30 gate,Script run_phase13_session_control.py,removed,none,active,removed,superseded,true,148,kabu_native/results/reports/phase13_session_control_20260517.json,09:30 no_entry_until は廃止。session 枠は構造理由のみ (configs/session_control.yaml)。,Superseded by Phase 148
37,2026-05-18,Monitoring,script,Phase 37 validation,Script run_phase37_validation.py,research,none,active,inactive,observe,false,,,Script run_phase37_validation.py,Research / review artifact
38,2026-05-18,Monitoring,script,Phase 38 validation,Script run_phase38_validation.py,research,none,active,inactive,observe,false,,,Script run_phase38_validation.py,Research / review artifact
39,2026-05-18,Monitoring,script,Phase 39 top quartile,Script run_phase39_top_quartile.py,research,none,active,inactive,observe,false,,,Script run_phase39_top_quartile.py,Research / review artifact
40,2026-05-18,Monitoring,script,Phase 40 top quartile oos,Script run_phase40_top_quartile_oos.py,research,none,active,inactive,observe,false,,,Script run_phase40_top_quartile_oos.py,Research / review artifact
41,2026-05-18,Data,script,Phase 41 data oos,Script run_phase41_data_oos.py,research,none,active,inactive,observe,false,,,Script run_phase41_data_oos.py,Research / review artifact
43,2026-05-18,Monitoring,script,Phase 43 gate diagnosis,Script run_phase43_gate_diagnosis.py,research,none,active,inactive,observe,false,,,Script run_phase43_gate_diagnosis.py,Research / review artifact
68,2026-05-27,Entry,script,Phase 68 variable audit,Phase 68: ENTRY/TAKE/EXIT variable implementation audit (read-only).,research,none,active,inactive,observe,false,,,Phase 68: ENTRY/TAKE/EXIT variable implementation audit (read-only).,Research / review artifact
69,2026-05-27,Monitoring,script,Phase 69 indicator design audit,Phase 69: Indicator design alignment audit (read-only).,research,none,active,inactive,observe,false,,,Phase 69: Indicator design alignment audit (read-only).,Research / review artifact
70,2026-05-27,Monitoring,script,Phase 70 decomposed indicator review,Phase 70: Decomposed indicator what-if (read-only diagnosis).,research,none,active,inactive,observe,false,,,Phase 70: Decomposed indicator what-if (read-only diagnosis).,Research / review artifact
71,2026-05-27,Exit,script,Phase 71 split momentum fade review,Phase 71: Split momentum fade exit what-if (read-only).,research,none,active,inactive,observe,false,,,Phase 71: Split momentum fade exit what-if (read-only).,Research / review artifact
72,2026-05-27,Exit,script,Phase 72 price momentum exit trial review,Script run_phase72_price_momentum_exit_trial_review.py,research,none,active,inactive,observe,false,,,Script run_phase72_price_momentum_exit_trial_review.py,Research / review artifact
74,2026-05-27,Entry,script,Phase 74 entry churn overlap review,Script run_phase74_entry_churn_overlap_review.py,research,none,active,inactive,observe,false,,,Script run_phase74_entry_churn_overlap_review.py,Research / review artifact
75,2026-05-27,Monitoring,script,Phase 75 quality gate redesign review,Script run_phase75_quality_gate_redesign_review.py,research,none,active,inactive,observe,false,,,Script run_phase75_quality_gate_redesign_review.py,Research / review artifact
76,2026-05-27,Position,script,Phase 76 overlap position management review,Script run_phase76_overlap_position_management_review.py,research,none,active,inactive,observe,false,,,Script run_phase76_overlap_position_management_review.py,Research / review artifact
77,2026-05-27,Monitoring,script,Phase 77 worst symbol regime filter review,Script run_phase77_worst_symbol_regime_filter_review.py,research,none,active,inactive,observe,false,,,Script run_phase77_worst_symbol_regime_filter_review.py,Research / review artifact
78,2026-05-27,Monitoring,script,Phase 78 rolling symbol cooloff review,Script run_phase78_rolling_symbol_cooloff_review.py,research,none,active,inactive,observe,false,,,Script run_phase78_rolling_symbol_cooloff_review.py,Research / review artifact
79,2026-05-27,Monitoring,script,Phase 79 symbol cooloff trial review,Script run_phase79_symbol_cooloff_trial_review.py,research,none,active,inactive,observe,false,,,Script run_phase79_symbol_cooloff_trial_review.py,Research / review artifact
81,2026-05-27,Universe,script,Phase 81 universe coverage audit,Script run_phase81_universe_coverage_audit.py,research,none,active,inactive,observe,false,,,Script run_phase81_universe_coverage_audit.py,Research / review artifact
82,2026-05-27,Monitoring,script,Phase 82 daytrade suitability review,Script run_phase82_daytrade_suitability_review.py,research,none,active,inactive,observe,false,,,Script run_phase82_daytrade_suitability_review.py,Research / review artifact
83,2026-05-27,Monitoring,script,Phase 83 daytrade suitability oos review,Script run_phase83_daytrade_suitability_oos_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase83_daytrade_suitability_oos_review.json,Report generated; no runtime adoption,research_complete
84,2026-05-27,Monitoring,script,Phase 84 vol liq trial review,Script run_phase84_vol_liq_trial_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase84_vol_liq_trial_review.json,Report generated; no runtime adoption,research_complete
86,2026-05-27,Monitoring,script,Phase 86 vol liq symbol cooloff review,Script run_phase86_vol_liq_symbol_cooloff_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase86_vol_liq_symbol_cooloff_review.json,Report generated; no runtime adoption,research_complete
87,2026-05-27,Monitoring,script,Phase 87 profit source review,Script run_phase87_profit_source_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase87_profit_source_review.json,Report generated; no runtime adoption,research_complete
88,2026-05-27,Exit,script,Phase 88 exit pathology review,Script run_phase88_exit_pathology_review.py,research,none,active,inactive,observe,false,,kabu_native/results/reports/phase88_exit_pathology_review.json,Report generated; no runtime adoption,research_complete
